Number of repeating units,MW polymer / g mol^-1,Solubility EQ / g-sol g-pol^-1,Temperature / K,Temperature / C,Pressure / Pa,Pressure / MPa,Solvent,Polymer
1.0,100.0,0.033284647770991806,373,100,1000000.0,1.0,CO2,PMMA
4.020202020202021,402.0202020202021,0.01674085118220051,373,100,1000000.0,1.0,CO2,PMMA
7.040404040404041,704.040404040404,0.014034210398501836,373,100,1000000.0,1.0,CO2,PMMA
10.06060606060606,1006.060606060606,0.012985707600306852,373,100,1000000.0,1.0,CO2,PMMA
13.080808080808081,1308.080808080808,0.012430045421594349,373,100,1000000.0,1.0,CO2,PMMA
16.101010101010104,1610.1010101010104,0.012086078264172188,373,100,1000000.0,1.0,CO2,PMMA
19.12121212121212,1912.121212121212,0.011852246367319068,373,100,1000000.0,1.0,CO2,PMMA
22.141414141414142,2214.1414141414143,0.011682974095244316,373,100,1000000.0,1.0,CO2,PMMA
25.161616161616163,2516.161616161616,0.011554776581262556,373,100,1000000.0,1.0,CO2,PMMA
28.181818181818183,2818.1818181818185,0.011454325027732564,373,100,1000000.0,1.0,CO2,PMMA
31.202020202020204,3120.2020202020203,0.01137349343263074,373,100,1000000.0,1.0,CO2,PMMA
34.22222222222222,3422.222222222222,0.011307046147606192,373,100,1000000.0,1.0,CO2,PMMA
37.24242424242424,3724.242424242424,0.011251457922503082,373,100,1000000.0,1.0,CO2,PMMA
40.26262626262626,4026.2626262626263,0.011204268287189343,373,100,1000000.0,1.0,CO2,PMMA
43.282828282828284,4328.282828282829,0.011163707811710867,373,100,1000000.0,1.0,CO2,PMMA
46.303030303030305,4630.30303030303,0.011128471444453713,373,100,1000000.0,1.0,CO2,PMMA
49.323232323232325,4932.323232323232,0.011097575564250521,373,100,1000000.0,1.0,CO2,PMMA
52.343434343434346,5234.343434343435,0.01107026476951298,373,100,1000000.0,1.0,CO2,PMMA
55.36363636363637,5536.363636363637,0.011045949322933181,373,100,1000000.0,1.0,CO2,PMMA
58.38383838383839,5838.383838383838,0.01102416210106147,373,100,1000000.0,1.0,CO2,PMMA
61.40404040404041,6140.404040404041,0.011004528304731259,373,100,1000000.0,1.0,CO2,PMMA
64.42424242424244,6442.424242424244,0.010986743725093232,373,100,1000000.0,1.0,CO2,PMMA
67.44444444444444,6744.444444444444,0.0109705588730317,373,100,1000000.0,1.0,CO2,PMMA
70.46464646464646,7046.464646464647,0.01095576720572482,373,100,1000000.0,1.0,CO2,PMMA
73.48484848484848,7348.484848484848,0.010942196267620186,373,100,1000000.0,1.0,CO2,PMMA
76.5050505050505,7650.50505050505,0.010929700937250651,373,100,1000000.0,1.0,CO2,PMMA
79.52525252525253,7952.525252525253,0.010918158218301112,373,100,1000000.0,1.0,CO2,PMMA
82.54545454545455,8254.545454545454,0.010907463178148688,373,100,1000000.0,1.0,CO2,PMMA
85.56565656565657,8556.565656565657,0.010897525749222757,373,100,1000000.0,1.0,CO2,PMMA
88.58585858585859,8858.585858585859,0.01088826818690777,373,100,1000000.0,1.0,CO2,PMMA
91.60606060606061,9160.60606060606,0.010879623031759818,373,100,1000000.0,1.0,CO2,PMMA
94.62626262626263,9462.626262626263,0.01087153146316367,373,100,1000000.0,1.0,CO2,PMMA
97.64646464646465,9764.646464646465,0.010863941959448026,373,100,1000000.0,1.0,CO2,PMMA
100.66666666666667,10066.666666666668,0.010856809199814264,373,100,1000000.0,1.0,CO2,PMMA
103.68686868686869,10368.68686868687,0.010850093158710076,373,100,1000000.0,1.0,CO2,PMMA
106.70707070707071,10670.70707070707,0.010843758354479927,373,100,1000000.0,1.0,CO2,PMMA
109.72727272727273,10972.727272727274,0.01083777322231477,373,100,1000000.0,1.0,CO2,PMMA
112.74747474747475,11274.747474747475,0.010832109588338074,373,100,1000000.0,1.0,CO2,PMMA
115.76767676767678,11576.767676767677,0.010826742226164077,373,100,1000000.0,1.0,CO2,PMMA
118.7878787878788,11878.78787878788,0.01082164848127743,373,100,1000000.0,1.0,CO2,PMMA
121.80808080808082,12180.808080808081,0.01081680795138414,373,100,1000000.0,1.0,CO2,PMMA
124.82828282828284,12482.828282828285,0.010812202213438152,373,100,1000000.0,1.0,CO2,PMMA
127.84848484848486,12784.848484848486,0.010807814589177392,373,100,1000000.0,1.0,CO2,PMMA
130.86868686868686,13086.868686868687,0.010803629943431804,373,100,1000000.0,1.0,CO2,PMMA
133.88888888888889,13388.888888888889,0.0107996345096972,373,100,1000000.0,1.0,CO2,PMMA
136.9090909090909,13690.90909090909,0.010795815738814047,373,100,1000000.0,1.0,CO2,PMMA
139.92929292929293,13992.929292929293,0.010792162167351224,373,100,1000000.0,1.0,CO2,PMMA
142.94949494949495,14294.949494949495,0.010788663302661778,373,100,1000000.0,1.0,CO2,PMMA
145.96969696969697,14596.969696969696,0.010785309522248524,373,100,1000000.0,1.0,CO2,PMMA
148.989898989899,14898.9898989899,0.010782091985402508,373,100,1000000.0,1.0,CO2,PMMA
152.010101010101,15201.0101010101,0.010849380544715442,373,100,1000000.0,1.0,CO2,PMMA
155.03030303030303,15503.030303030304,0.01084504073527432,373,100,1000000.0,1.0,CO2,PMMA
158.05050505050505,15805.050505050505,0.010840866996605927,373,100,1000000.0,1.0,CO2,PMMA
161.07070707070707,16107.070707070707,0.010836849975325273,373,100,1000000.0,1.0,CO2,PMMA
164.0909090909091,16409.090909090908,0.010832981007447463,373,100,1000000.0,1.0,CO2,PMMA
167.11111111111111,16711.111111111113,0.010829252056106076,373,100,1000000.0,1.0,CO2,PMMA
170.13131313131314,17013.131313131315,0.01082565565574048,373,100,1000000.0,1.0,CO2,PMMA
173.15151515151516,17315.151515151516,0.010822184862311757,373,100,1000000.0,1.0,CO2,PMMA
176.17171717171718,17617.171717171717,0.010818833208437293,373,100,1000000.0,1.0,CO2,PMMA
179.1919191919192,17919.19191919192,0.01081559466328503,373,100,1000000.0,1.0,CO2,PMMA
182.21212121212122,18221.21212121212,0.010812463596260345,373,100,1000000.0,1.0,CO2,PMMA
185.23232323232324,18523.232323232325,0.010809434744439452,373,100,1000000.0,1.0,CO2,PMMA
188.25252525252526,18825.252525252527,0.010806503182937025,373,100,1000000.0,1.0,CO2,PMMA
191.27272727272728,19127.272727272728,0.01080366429829531,373,100,1000000.0,1.0,CO2,PMMA
194.2929292929293,19429.29292929293,0.010800913764165613,373,100,1000000.0,1.0,CO2,PMMA
197.31313131313132,19731.31313131313,0.01079824751938873,373,100,1000000.0,1.0,CO2,PMMA
200.33333333333334,20033.333333333336,0.010795661747940952,373,100,1000000.0,1.0,CO2,PMMA
203.35353535353536,20335.353535353537,0.01079315286070495,373,100,1000000.0,1.0,CO2,PMMA
206.37373737373738,20637.37373737374,0.01079071747888268,373,100,1000000.0,1.0,CO2,PMMA
209.3939393939394,20939.39393939394,0.010788352418783084,373,100,1000000.0,1.0,CO2,PMMA
212.41414141414143,21241.41414141414,0.010786054678000659,373,100,1000000.0,1.0,CO2,PMMA
215.43434343434345,21543.434343434346,0.010783821422573081,373,100,1000000.0,1.0,CO2,PMMA
218.45454545454547,21845.454545454548,0.01078164997548389,373,100,1000000.0,1.0,CO2,PMMA
221.4747474747475,22147.47474747475,0.0107795378057992,373,100,1000000.0,1.0,CO2,PMMA
224.4949494949495,22449.49494949495,0.01077748251895937,373,100,1000000.0,1.0,CO2,PMMA
227.51515151515153,22751.515151515152,0.010775481847646616,373,100,1000000.0,1.0,CO2,PMMA
230.53535353535355,23053.535353535353,0.010773533643440183,373,100,1000000.0,1.0,CO2,PMMA
233.55555555555557,23355.55555555556,0.010771635869171702,373,100,1000000.0,1.0,CO2,PMMA
236.5757575757576,23657.57575757576,0.010769786591782593,373,100,1000000.0,1.0,CO2,PMMA
239.5959595959596,23959.59595959596,0.010767983975750624,373,100,1000000.0,1.0,CO2,PMMA
242.61616161616163,24261.616161616163,0.010766226277041758,373,100,1000000.0,1.0,CO2,PMMA
245.63636363636365,24563.636363636364,0.010764511837459044,373,100,1000000.0,1.0,CO2,PMMA
248.65656565656568,24865.65656565657,0.010762839079436747,373,100,1000000.0,1.0,CO2,PMMA
251.6767676767677,25167.67676767677,0.010761206501188033,373,100,1000000.0,1.0,CO2,PMMA
254.69696969696972,25469.69696969697,0.01075961267222746,373,100,1000000.0,1.0,CO2,PMMA
257.7171717171717,25771.71717171717,0.010758056229157686,373,100,1000000.0,1.0,CO2,PMMA
260.73737373737373,26073.737373737375,0.010756535871835669,373,100,1000000.0,1.0,CO2,PMMA
263.75757575757575,26375.757575757576,0.010755050359660517,373,100,1000000.0,1.0,CO2,PMMA
266.77777777777777,26677.777777777777,0.010753598508312524,373,100,1000000.0,1.0,CO2,PMMA
269.7979797979798,26979.79797979798,0.010752179186498848,373,100,1000000.0,1.0,CO2,PMMA
272.8181818181818,27281.81818181818,0.010750791313057749,373,100,1000000.0,1.0,CO2,PMMA
275.83838383838383,27583.83838383838,0.01074943385424042,373,100,1000000.0,1.0,CO2,PMMA
278.85858585858585,27885.858585858587,0.01074810582113,373,100,1000000.0,1.0,CO2,PMMA
281.8787878787879,28187.878787878788,0.010746806267168132,373,100,1000000.0,1.0,CO2,PMMA
284.8989898989899,28489.89898989899,0.010745534286005946,373,100,1000000.0,1.0,CO2,PMMA
287.9191919191919,28791.91919191919,0.01074428900932156,373,100,1000000.0,1.0,CO2,PMMA
290.93939393939394,29093.939393939392,0.010743069604886493,373,100,1000000.0,1.0,CO2,PMMA
293.95959595959596,29395.959595959597,0.010741875274721799,373,100,1000000.0,1.0,CO2,PMMA
296.979797979798,29697.9797979798,0.010740705253271716,373,100,1000000.0,1.0,CO2,PMMA
300.0,30000.0,0.010739558805907287,373,100,1000000.0,1.0,CO2,PMMA
