Number of repeating units,MW polymer / g mol^-1,Solubility EQ / g-sol g-pol^-1,Temperature / K,Temperature / C,Pressure / Pa,Pressure / MPa,Solvent,Polymer
1.0,104.0,0.017952539787084693,373,100,1000000.0,1.0,CO2,PS
4.020202020202021,418.10101010101016,0.010093993013499971,373,100,1000000.0,1.0,CO2,PS
7.040404040404041,732.2020202020202,0.008543059872887119,373,100,1000000.0,1.0,CO2,PS
10.06060606060606,1046.3030303030303,0.007938479279460446,373,100,1000000.0,1.0,CO2,PS
13.080808080808081,1360.4040404040404,0.007617089375214625,373,100,1000000.0,1.0,CO2,PS
16.101010101010104,1674.5050505050508,0.007417774104699715,373,100,1000000.0,1.0,CO2,PS
19.12121212121212,1988.6060606060605,0.007282110290632974,373,100,1000000.0,1.0,CO2,PS
22.141414141414142,2302.7070707070707,0.007183815403957999,373,100,1000000.0,1.0,CO2,PS
25.161616161616163,2616.808080808081,0.007109322591498072,373,100,1000000.0,1.0,CO2,PS
28.181818181818183,2930.909090909091,0.007050921974358425,373,100,1000000.0,1.0,CO2,PS
31.202020202020204,3245.010101010101,0.007003908403763047,373,100,1000000.0,1.0,CO2,PS
34.22222222222222,3559.111111111111,0.006965247853849555,373,100,1000000.0,1.0,CO2,PS
37.24242424242424,3873.212121212121,0.006932896104478708,373,100,1000000.0,1.0,CO2,PS
40.26262626262626,4187.313131313132,0.006905425586572802,373,100,1000000.0,1.0,CO2,PS
43.282828282828284,4501.414141414141,0.006881809189833131,373,100,1000000.0,1.0,CO2,PS
46.303030303030305,4815.515151515152,0.006861289057278201,373,100,1000000.0,1.0,CO2,PS
49.323232323232325,5129.616161616162,0.006843293789005469,373,100,1000000.0,1.0,CO2,PS
52.343434343434346,5443.717171717172,0.006827384425872081,373,100,1000000.0,1.0,CO2,PS
55.36363636363637,5757.818181818182,0.0068132181817335035,373,100,1000000.0,1.0,CO2,PS
58.38383838383839,6071.919191919193,0.006800523474125599,373,100,1000000.0,1.0,CO2,PS
61.40404040404041,6386.020202020202,0.006789082349876873,373,100,1000000.0,1.0,CO2,PS
64.42424242424244,6700.121212121214,0.0067787178707882315,373,100,1000000.0,1.0,CO2,PS
67.44444444444444,7014.222222222222,0.006769284899688337,373,100,1000000.0,1.0,CO2,PS
70.46464646464646,7328.323232323232,0.00676066326347571,373,100,1000000.0,1.0,CO2,PS
73.48484848484848,7642.424242424242,0.006752752607223753,373,100,1000000.0,1.0,CO2,PS
76.5050505050505,7956.525252525253,0.006745468470723686,373,100,1000000.0,1.0,CO2,PS
79.52525252525253,8270.626262626263,0.006738739261589427,373,100,1000000.0,1.0,CO2,PS
82.54545454545455,8584.727272727272,0.006732503894669841,373,100,1000000.0,1.0,CO2,PS
85.56565656565657,8898.828282828283,0.00672670993274097,373,100,1000000.0,1.0,CO2,PS
88.58585858585859,9212.929292929293,0.006721312108439798,373,100,1000000.0,1.0,CO2,PS
91.60606060606061,9527.030303030304,0.006716271139384846,373,100,1000000.0,1.0,CO2,PS
94.62626262626263,9841.131313131313,0.006711552770718654,373,100,1000000.0,1.0,CO2,PS
97.64646464646465,10155.232323232323,0.0067071269957657415,373,100,1000000.0,1.0,CO2,PS
100.66666666666667,10469.333333333334,0.0067029674172814436,373,100,1000000.0,1.0,CO2,PS
103.68686868686869,10783.434343434345,0.006699050720587077,373,100,1000000.0,1.0,CO2,PS
106.70707070707071,11097.535353535353,0.0066953562364286245,373,100,1000000.0,1.0,CO2,PS
109.72727272727273,11411.636363636364,0.006691865576043843,373,100,1000000.0,1.0,CO2,PS
112.74747474747475,11725.737373737375,0.006688562325177306,373,100,1000000.0,1.0,CO2,PS
115.76767676767678,12039.838383838385,0.006685431785914565,373,100,1000000.0,1.0,CO2,PS
118.7878787878788,12353.939393939394,0.006682460758156893,373,100,1000000.0,1.0,CO2,PS
121.80808080808082,12668.040404040405,0.006679637353485963,373,100,1000000.0,1.0,CO2,PS
124.82828282828284,12982.141414141415,0.006676950836228192,373,100,1000000.0,1.0,CO2,PS
127.84848484848486,13296.242424242426,0.006674391487053019,373,100,1000000.0,1.0,CO2,PS
130.86868686868686,13610.343434343435,0.0066719504854612696,373,100,1000000.0,1.0,CO2,PS
133.88888888888889,13924.444444444443,0.006669619808249156,373,100,1000000.0,1.0,CO2,PS
136.9090909090909,14238.545454545454,0.0066673921413872616,373,100,1000000.0,1.0,CO2,PS
139.92929292929293,14552.646464646465,0.0066652608034099186,373,100,1000000.0,1.0,CO2,PS
142.94949494949495,14866.747474747475,0.006663219678420554,373,100,1000000.0,1.0,CO2,PS
145.96969696969697,15180.848484848484,0.006661263157511092,373,100,1000000.0,1.0,CO2,PS
148.989898989899,15494.949494949495,0.006659386087349489,373,100,1000000.0,1.0,CO2,PS
152.010101010101,15809.050505050505,0.006701086810682377,373,100,1000000.0,1.0,CO2,PS
155.03030303030303,16123.151515151516,0.006698507318237035,373,100,1000000.0,1.0,CO2,PS
158.05050505050505,16437.252525252527,0.006696026508756767,373,100,1000000.0,1.0,CO2,PS
161.07070707070707,16751.353535353537,0.006693638825659054,373,100,1000000.0,1.0,CO2,PS
164.0909090909091,17065.454545454544,0.00669133912183248,373,100,1000000.0,1.0,CO2,PS
167.11111111111111,17379.555555555555,0.006689122622642659,373,100,1000000.0,1.0,CO2,PS
170.13131313131314,17693.656565656565,0.006686984892749229,373,100,1000000.0,1.0,CO2,PS
173.15151515151516,18007.757575757576,0.006684921806614129,373,100,1000000.0,1.0,CO2,PS
176.17171717171718,18321.858585858587,0.006682929521800435,373,100,1000000.0,1.0,CO2,PS
179.1919191919192,18635.959595959597,0.0066810044551736504,373,100,1000000.0,1.0,CO2,PS
182.21212121212122,18950.060606060608,0.006679143261367038,373,100,1000000.0,1.0,CO2,PS
185.23232323232324,19264.16161616162,0.006677342813379838,373,100,1000000.0,1.0,CO2,PS
188.25252525252526,19578.262626262625,0.006675600185028265,373,100,1000000.0,1.0,CO2,PS
191.27272727272728,19892.363636363636,0.0066739126351471586,373,100,1000000.0,1.0,CO2,PS
194.2929292929293,20206.464646464647,0.006672277593101563,373,100,1000000.0,1.0,CO2,PS
197.31313131313132,20520.565656565657,0.00667069264579223,373,100,1000000.0,1.0,CO2,PS
200.33333333333334,20834.666666666668,0.006669155525766335,373,100,1000000.0,1.0,CO2,PS
203.35353535353536,21148.76767676768,0.0066676641003554785,373,100,1000000.0,1.0,CO2,PS
