Pressure (Pa), Temperature (K), Density EQ (g/cm^3), Density Exp (g/cm^3)
0.0, 394.45, 1.153241755578236, 1.1479738261967627
0.0, 404.04999999999995, 1.1459152977858325, 1.1410314924691922
0.0, 413.65, 1.1385514221795439, 1.1350737797956867
0.0, 423.25, 1.1311497908021282, 1.1287955751213454
0.0, 433.25, 1.123399285452195, 1.121830827911151
0.0, 442.95, 1.1158415583153285, 1.1154489682097044
0.0, 452.45, 1.1084015030295282, 1.108524553818867
0.0, 463.54999999999995, 1.0996603037441857, 1.1016855789357718
0.0, 473.34999999999997, 1.091899600586945, 1.094570928196147
0.0, 483.54999999999995, 1.0837789202358998, 1.087429317094389
0.0, 493.75, 1.0756140662013671, 1.079913606911447
0.0, 503.54999999999995, 1.0677277399940908, 1.0733068584308254
19613611.846621558, 404.04999999999995, 1.1565638352722045, 1.1523392486748099
19613611.846621558, 413.65, 1.149620021643233, 1.1466574934067195
19613611.846621558, 423.25, 1.1426542077684516, 1.1407711613050422
19613611.846621558, 433.25, 1.1353750959283964, 1.1344299489506524
19613611.846621558, 442.95, 1.1282922699447393, 1.1284134506883323
19613611.846621558, 452.45, 1.1213348268230905, 1.122334455667789
19613611.846621558, 463.54999999999995, 1.1131803444437125, 1.1158223610801161
19613611.846621558, 473.34999999999997, 1.1059589039086122, 1.1093854004881296
19613611.846621558, 483.54999999999995, 1.0984215318646502, 1.1030222810500772
19613611.846621558, 493.75, 1.0908633418101386, 1.0960105217010083
19613611.846621558, 503.54999999999995, 1.0835827444541215, 1.0896807235480004
39227223.693243116, 404.04999999999995, 1.1663121052867573, 1.1623852144600721
39227223.693243116, 413.65, 1.1597195336581052, 1.157273463719477
39227223.693243116, 423.25, 1.153115748192897, 1.1514104778353482
39227223.693243116, 433.25, 1.1462255111641917, 1.1457378551787352
39227223.693243116, 442.95, 1.1395316432734115, 1.1399908800729595
39227223.693243116, 452.45, 1.1329666183853582, 1.1341726210729273
39227223.693243116, 463.54999999999995, 1.1252853752481868, 1.128286133363421
39227223.693243116, 473.34999999999997, 1.118495240759813, 1.122208506340478
39227223.693243116, 483.54999999999995, 1.1114205116474605, 1.1161960040183057
39227223.693243116, 493.75, 1.1043392554816354, 1.1097547442015314
39227223.693243116, 503.54999999999995, 1.0975306083140228, 1.103996467211305
58840835.539864674, 413.65, 1.169025158641128, 1.1669973159061735
58840835.539864674, 423.25, 1.1627288361226633, 1.161710037174721
58840835.539864674, 433.25, 1.1561671021208737, 1.1560693641618498
58840835.539864674, 442.95, 1.1498000072125838, 1.1507479861910241
58840835.539864674, 452.45, 1.1435628609253503, 1.1453441759248655
58840835.539864674, 463.54999999999995, 1.1362746508953392, 1.1397310234784592
58840835.539864674, 473.34999999999997, 1.1298404933027988, 1.1340440009072352
58840835.539864674, 483.54999999999995, 1.12314527445159, 1.128158844765343
58840835.539864674, 493.75, 1.1164527618444677, 1.122208506340478
58840835.539864674, 503.54999999999995, 1.1100263431668098, 1.1168192986374805
78454447.38648623, 413.65, 1.1776666441368735, 1.1760555098200636
78454447.38648623, 423.25, 1.1716360379015864, 1.17096018735363
78454447.38648623, 433.25, 1.1653570025257034, 1.1656370206317752
78454447.38648623, 442.95, 1.1592699034153051, 1.160496692584426
78454447.38648623, 452.45, 1.153312500196654, 1.155268022181146
78454447.38648623, 463.54999999999995, 1.1463580614466862, 1.1498217776244681
78454447.38648623, 473.34999999999997, 1.1402247591211458, 1.1442956860052638
78454447.38648623, 483.54999999999995, 1.133848793137173, 1.1389521640091116
78454447.38648623, 493.75, 1.1274817286912229, 1.13314447592068
78454447.38648623, 503.54999999999995, 1.1213737764987728, 1.128158844765343
98068059.23310779, 413.65, 1.185743071801953, 1.184413123297406
98068059.23310779, 423.25, 1.1799453641461306, 1.1796626164916835
98068059.23310779, 433.25, 1.1739132607794833, 1.1742602160638798
98068059.23310779, 442.95, 1.168069880341412, 1.1695906432748537
98068059.23310779, 452.45, 1.162355141279701, 1.1644154634373545
98068059.23310779, 463.54999999999995, 1.1556891595127596, 1.1592858798979828
98068059.23310779, 473.34999999999997, 1.1498148815204035, 1.1539349180706209
98068059.23310779, 483.54999999999995, 1.1437127746518616, 1.1488970588235294
98068059.23310779, 493.75, 1.1376238362166686, 1.1432491139819365
98068059.23310779, 503.54999999999995, 1.1317870367124256, 1.1385631333257429
117681671.07972935, 413.65, 1.193332011678549, 1.1916110581506196
117681671.07972935, 423.25, 1.1877408264615699, 1.1879306248515087
117681671.07972935, 433.25, 1.1819270667985866, 1.1825922421948911
117681671.07972935, 442.95, 1.1762985701269504, 1.1777175833235192
117681671.07972935, 452.45, 1.1707971843241625, 1.172882946281961
117681671.07972935, 463.54999999999995, 1.16438405084527, 1.16795141322121
117681671.07972935, 473.34999999999997, 1.158736124503709, 1.1627906976744187
117681671.07972935, 483.54999999999995, 1.1528726281167887, 1.157675387821255
117681671.07972935, 493.75, 1.1470252895900963, 1.1524720525527257
117681671.07972935, 503.54999999999995, 1.141423338587846, 1.1478420569329661
137295282.9263509, 413.65, 1.2004954563398604, 1.198609612849095
137295282.9263509, 423.25, 1.1950892005630451, 1.1950286806883366
137295282.9263509, 433.25, 1.1894704879910252, 1.1900511722004046
137295282.9263509, 442.95, 1.1840334863195106, 1.1856770215793218
137295282.9263509, 452.45, 1.1787217866165647, 1.1809163911195086
137295282.9263509, 463.54999999999995, 1.1725328894058258, 1.1761938367442955
137295282.9263509, 473.34999999999997, 1.167085191917111, 1.1708230886313078
137295282.9263509, 483.54999999999995, 1.1614322576964988, 1.166044776119403
137295282.9263509, 493.75, 1.155797595373253, 1.1610356437942646
137295282.9263509, 503.54999999999995, 1.1504018817910044, 1.156737998843262
156908894.77297246, 423.25, 1.202044534846484, 1.201634222542658
156908894.77297246, 433.25, 1.1966015736746516, 1.1971746677840296
156908894.77297246, 442.95, 1.191336770705188, 1.1930326890956813
156908894.77297246, 452.45, 1.1861953055024024, 1.1883541295306002
156908894.77297246, 463.54999999999995, 1.1802072249657978, 1.1837121212121213
156908894.77297246, 473.34999999999997, 1.174938462579349, 1.1789672247111531
156908894.77297246, 483.54999999999995, 1.169473317500407, 1.173984503404555
156908894.77297246, 493.75, 1.1640279418899868, 1.16918040453642
156908894.77297246, 503.54999999999995, 1.1588154197510392, 1.1649580615097856
176522506.619594, 423.25, 1.2086512572027748, 1.208605269518975
176522506.619594, 433.25, 1.203367842230117, 1.2042389210019266
176522506.619594, 442.95, 1.1982590864268567, 1.1999040076793857
176522506.619594, 452.45, 1.193271627047032, 1.1958861516383639
176522506.619594, 463.54999999999995, 1.1874648917596482, 1.1909015124449207
176522506.619594, 473.34999999999997, 1.1823574224291689, 1.1859582542694498
176522506.619594, 483.54999999999995, 1.1770612616592218, 1.1811953697141506
176522506.619594, 493.75, 1.1717859240126152, 1.1766090128250382
176522506.619594, 503.54999999999995, 1.166737689508259, 1.1724703951225233
196136118.46621558, 423.25, 1.214946376671605, 1.2144765606023804
196136118.46621558, 433.25, 1.2098087341993635, 1.2106537530266344
196136118.46621558, 442.95, 1.2048423371422037, 1.2067093037287318
196136118.46621558, 452.45, 1.1999951682741061, 1.2025012025012025
196136118.46621558, 463.54999999999995, 1.1943533714464571, 1.1981787682722262
196136118.46621558, 473.34999999999997, 1.1893923743622221, 1.1931750387781888
