Pressure (Pa), Temperature (K), Density EQ (g/cm^3), Density Exp (g/cm^3)
0, 383.4, 1.0408827200185549, 1.0155377272265664
0, 393.0, 1.0344851145673586, 1.0094891984655763
0, 402.5, 1.0281216036555847, 1.004419445560466
0, 412.4, 1.021455962722353, 0.9981036031540074
0, 422.8, 1.0144163455756912, 0.9925558312655086
0, 432.6, 1.0077480778047185, 0.9866798223976319
0, 442.5, 1.0009776924765628, 0.9807767752059631
0, 452.8, 0.9938975923265404, 0.9748488984207447
0, 463.1, 0.9867807895290512, 0.968710646130001
0, 473.6, 0.9794881903355926, 0.9633911368015414
0, 482.7, 0.9731373534615246, 0.9584052137243626
0, 492.4, 0.9663366316959553, 0.9531071292413268
0, 503.2, 0.9587270217805517, 0.94732853353543
0, 513.2, 0.9516458316584092, 0.9416195856873822
0, 524.3, 0.9437461738046053, 0.9354536950420954
20000000, 383.4, 1.0556762503091295, 1.026272577996716
20000000, 393.0, 1.049748260121881, 1.0210332856851132
20000000, 402.5, 1.0438643964173675, 1.016053647632595
20000000, 412.4, 1.0377149498801688, 1.0102030508132134
20000000, 422.8, 1.0312362181559203, 1.004823151125402
20000000, 432.6, 1.0251145678125007, 0.9994003597841296
20000000, 442.5, 1.0189148410752196, 0.9939369843951894
20000000, 452.8, 1.0124488548792483, 0.9883376161296699
20000000, 463.1, 1.0059677171852546, 0.9831874938550783
20000000, 473.6, 0.9993461180711486, 0.9783778495254868
20000000, 482.7, 0.9935962445701834, 0.97380465478625
20000000, 492.4, 0.9874566481352681, 0.9689922480620154
20000000, 503.2, 0.9806089181166792, 0.9638554216867469
20000000, 513.2, 0.9742582344840542, 0.9587727708533078
20000000, 524.3, 0.9671986756328372, 0.9533797311469159
40000000, 383.4, 1.0688880828235479, 1.0357327809425168
40000000, 393.0, 1.0633314999751275, 1.0312467773538208
40000000, 402.5, 1.057824226605302, 1.0264832683227263
40000000, 412.4, 1.0520769916046888, 1.0209290454313424
40000000, 422.8, 1.0460317221899347, 1.015640869388584
40000000, 432.6, 1.0403289697818126, 1.0105092966855296
40000000, 442.5, 1.0345628834874965, 1.0054293183189222
40000000, 452.8, 1.0285594101822204, 1.000300090027008
40000000, 463.1, 1.0225525449347117, 0.9955201592832256
40000000, 473.6, 1.0164267145772656, 0.9907856930545922
40000000, 482.7, 1.0111166773535554, 0.9868745682423763
40000000, 492.4, 1.0054564425319417, 0.9823182711198428
40000000, 503.2, 0.9991553570046662, 0.9776126698602015
40000000, 513.2, 0.9933230927218598, 0.9731413001167769
40000000, 524.3, 0.98685292486628, 0.9680542110358181
60000000, 393.0, 1.0756108406055302, 1.0401497815685459
60000000, 402.5, 1.0704102014229218, 1.0361620557455187
60000000, 412.4, 1.064988679987584, 1.0307153164296021
60000000, 422.8, 1.0592923932229965, 1.0255358424776946
60000000, 432.6, 1.053924912175725, 1.0207206287639072
60000000, 442.5, 1.048503865509852, 1.015950421619425
60000000, 452.8, 1.0428661558692143, 1.011020119300374
60000000, 463.1, 1.0372319738836673, 1.0065425264217414
60000000, 473.6, 1.0314931768953557, 1.0023053021950485
60000000, 482.7, 1.0265243619795283, 0.9985022466300548
60000000, 492.4, 1.0212337456722957, 0.9942334460131238
60000000, 503.2, 1.015351311955795, 0.9899029895070284
60000000, 513.2, 1.0099133219746992, 0.9856100926473488
60000000, 524.3, 1.0038881905859196, 0.9809691975671964
80000000, 402.5, 1.081899584073313, 1.0444955086693126
80000000, 412.4, 1.0767494001042603, 1.039176971838304
80000000, 422.8, 1.071342576601751, 1.0344470880314471
80000000, 432.6, 1.0662519746230337, 1.0298661174047374
80000000, 442.5, 1.0611146500062212, 1.0253255408592228
80000000, 452.8, 1.0557763651905985, 1.020512297173181
80000000, 463.1, 1.0504458747634535, 1.016260162601626
80000000, 473.6, 1.045020990230541, 1.0122482032594393
80000000, 482.7, 1.0403277040817642, 1.0086746015735324
80000000, 492.4, 1.0353342657285423, 1.0047221943132725
80000000, 503.2, 1.0297868484384907, 1.0004001600640255
80000000, 513.2, 1.024662851119255, 0.9966115208291807
80000000, 524.3, 1.0189903998223704, 0.992358836955443
100000000, 402.5, 1.0924900345326811, 1.0522992739135009
100000000, 412.4, 1.0875708412735117, 1.0474494605635278
100000000, 422.8, 1.0824096143212405, 1.0426441455531228
100000000, 432.6, 1.0775531453872091, 1.0383137784238397
100000000, 442.5, 1.072654953243621, 1.0340192327577293
100000000, 452.8, 1.0675681834532462, 1.029336078229542
100000000, 463.1, 1.062491910533478, 1.025220422390814
100000000, 473.6, 1.0573288799514695, 1.0214504596527068
100000000, 482.7, 1.0528646705177016, 1.018122581958868
100000000, 492.4, 1.0481175243333092, 1.0143016533116949
100000000, 503.2, 1.0428467978338987, 1.0104071940992219
